compactness,circularity,distance_circularity,radius_ratio,pr_axis,max_length_aspect_ratio,scatter_ratio,elongatedness,pr_axis_rectangularity,max_length_rect,scaled_var_major_axis,scaled_var_minor_axis,scaled_radius_of_gyration,skewness_major_axis,skewness_minor_axis,kurtosis_minor_axis,kurtosis_major_axis,hollows_ratio,vehicle_name
87,42,60.0,116,51,6,150,46,19,141,169,324,171.0,85,2,14,178.0,182,bus
94,37,73.0,186,71,7,154,42,19,127,171,362,132.0,67,2,8,197.0,206,bus
93,36,63.0,139,57,8,132,50,18,136,158,260,121.0,67,3,27,193.0,201,van
107,53,108.0,213,64,12,206,32,23,163,216,627,202.0,65,21,22,194.0,205,saab
92,40,82.0,163,63,9,146,45,19,140,165,319,137.0,64,9,0,199.0,206,van
84,35,53.0,122,57,4,116,59,17,123,135,196,128.0,76,10,27,183.0,190,saab
111,54,103.0,171,50,11,221,30,25,172,227,727,201.0,69,15,6,190.0,198,opel
91,49,86.0,195,63,8,177,37,21,156,203,473,201.0,67,7,5,192.0,198,opel
95,36,73.0,191,73,6,156,41,19,126,184,374,124.0,71,2,19,199.0,204,bus
101,53,108.0,184,54,12,216,31,24,172,220,685,187.0,68,4,24,190.0,201,opel
96,40,78.0,170,58,7,174,38,21,139,197,455,160.0,68,3,29,191.0,200,saab
100,48,95.0,209,68,7,199,32,23,150,216,605,200.0,73,7,11,192.0,194,bus
101,52,105.0,162,53,10,212,31,24,163,226,669,204.0,74,12,11,186.0,194,opel
102,43,96.0,197,63,10,185,36,22,142,202,513,139.0,65,8,12,195.0,204,opel
86,35,44.0,110,54,2,119,57,17,121,139,208,137.0,90,6,1,180.0,183,van
86,39,84.0,149,57,8,156,43,20,133,185,358,157.0,74,0,23,183.0,190,opel
85,39,57.0,126,56,6,114,58,17,135,134,195,145.0,64,17,7,197.0,202,van
97,48,105.0,212,64,11,201,33,23,155,212,602,162.0,64,2,7,193.0,202,opel
84,43,76.0,180,75,7,155,43,19,143,180,359,173.0,77,5,12,185.0,190,bus
94,37,72.0,146,60,9,133,50,18,135,161,262,128.0,69,2,7,192.0,195,van
84,36,75.0,136,55,6,140,48,18,125,166,290,138.0,71,4,36,189.0,195,saab
100,54,102.0,206,65,10,198,33,23,164,224,587,240.0,72,4,11,187.0,196,saab
89,38,77.0,161,62,7,149,45,19,129,174,327,153.0,71,6,21,188.0,193,saab
99,43,89.0,195,63,8,186,35,22,144,210,521,166.0,68,6,13,191.0,199,saab
87,38,,123,53,8,137,49,18,127,158,277,145.0,75,0,9,181.0,186,saab
101,55,105.0,182,59,10,215,31,24,177,221,678,223.0,74,12,26,186.0,195,opel
100,46,81.0,187,61,9,166,40,20,154,189,415,,63,13,9,198.0,207,saab
89,38,82.0,156,59,8,153,43,19,129,179,351,137.0,70,1,1,187.0,192,saab
90,47,73.0,136,58,11,161,42,20,153,172,376,185.0,77,11,8,183.0,191,van
106,55,98.0,224,68,11,215,31,24,170,222,679,214.0,68,2,29,189.0,201,opel
77,38,75.0,144,59,6,147,46,19,132,167,315,136.0,80,16,20,181.0,187,opel
81,44,68.0,120,53,6,151,45,19,147,170,333,178.0,86,4,5,179.0,183,bus
86,37,77.0,144,54,7,154,43,19,127,179,352,145.0,71,14,13,186.0,191,opel
86,39,62.0,129,59,6,116,57,17,135,137,203,145.0,64,7,9,199.0,204,van
96,47,77.0,204,72,6,167,38,20,150,188,429,182.0,69,6,16,199.0,203,bus
100,52,104.0,189,59,10,208,32,24,163,220,642,197.0,70,1,22,187.0,198,saab
110,53,104.0,223,66,10,211,32,24,164,223,659,210.0,67,5,16,190.0,203,saab
95,45,105.0,208,64,10,187,36,22,150,202,520,158.0,64,7,32,198.0,211,saab
105,53,105.0,184,57,11,211,31,24,168,224,661,218.0,71,0,15,186.0,197,saab
89,45,77.0,188,64,9,161,41,20,151,190,390,174.0,66,4,2,194.0,201,saab
81,45,68.0,137,60,7,152,45,19,151,167,333,179.0,81,3,13,179.0,183,bus
87,45,82.0,164,60,8,156,42,19,144,181,366,174.0,70,2,2,190.0,196,opel
99,48,104.0,196,63,10,201,33,23,152,221,604,199.0,73,8,4,188.0,197,saab
88,44,71.0,165,70,7,144,46,19,141,167,312,172.0,71,4,4,188.0,193,bus
86,44,70.0,140,64,6,148,45,19,145,170,322,185.0,82,10,1,181.0,183,bus
86,46,73.0,125,57,6,151,45,19,147,170,334,188.0,82,9,11,180.0,184,bus
104,51,108.0,193,59,11,217,31,24,163,232,694,203.0,72,15,22,190.0,201,saab
88,44,71.0,145,56,8,142,48,19,143,159,296,174.0,68,7,18,188.0,197,opel
86,41,66.0,133,56,6,136,49,18,136,155,274,162.0,74,5,14,183.0,189,saab
93,47,84.0,205,71,7,176,36,21,152,190,476,201.0,70,7,19,198.0,201,bus
108,51,100.0,206,63,10,196,34,23,159,214,576,201.0,65,7,16,194.0,205,saab
105,50,93.0,173,54,4,222,30,25,159,254,735,206.0,83,4,12,186.0,184,bus
88,44,77.0,167,59,6,151,44,19,145,175,343,177.0,64,9,12,202.0,208,opel
115,53,100.0,205,64,11,220,30,25,166,229,710,214.0,71,21,11,189.0,199,saab
108,55,105.0,230,68,11,218,30,24,171,228,709,210.0,69,14,4,190.0,197,opel
82,36,51.0,114,53,4,135,50,18,126,150,268,144.0,86,15,4,181.0,182,saab
107,54,96.0,201,62,12,218,31,24,170,221,694,217.0,71,2,21,187.0,198,saab
102,52,98.0,225,71,10,214,31,24,164,228,682,199.0,71,0,16,187.0,196,opel
97,55,96.0,170,54,10,216,31,24,173,219,685,218.0,75,0,4,184.0,193,opel
94,45,85.0,163,68,10,157,44,20,156,170,357,176.0,73,17,11,187.0,195,van
86,44,77.0,155,60,7,152,44,19,141,174,345,161.0,72,9,0,187.0,192,opel
100,52,109.0,225,68,10,222,30,25,165,241,731,207.0,73,7,28,188.0,199,opel
108,56,102.0,246,75,6,239,28,26,167,264,855,228.0,82,9,13,186.0,185,bus
103,51,105.0,174,56,11,210,32,24,163,222,650,222.0,73,8,9,187.0,196,saab
99,54,100.0,199,62,9,200,33,23,166,222,600,241.0,70,2,7,189.0,198,opel
110,58,106.0,180,51,6,261,26,28,171,278,998,257.0,83,9,13,181.0,182,bus
85,42,59.0,132,58,7,149,46,19,144,166,320,172.0,83,8,4,179.0,182,bus
91,45,75.0,154,57,6,150,44,19,146,170,335,180.0,66,16,2,193.0,198,opel
105,52,107.0,207,60,11,218,31,24,167,221,701,197.0,66,0,20,191.0,203,opel
100,46,90.0,172,67,9,157,43,20,150,170,363,184.0,67,17,7,192.0,200,van
92,45,74.0,187,74,7,157,41,19,143,179,375,183.0,70,8,6,,201,bus
108,51,103.0,197,60,11,211,31,24,160,222,661,187.0,67,7,3,190.0,200,opel
100,47,88.0,190,60,10,171,38,21,155,186,440,169.0,59,15,18,201.0,210,saab
100,36,73.0,199,73,6,162,40,20,127,189,401,125.0,72,6,19,200.0,204,bus
97,41,88.0,184,59,9,175,38,21,140,192,459,147.0,63,1,5,196.0,205,saab
85,38,63.0,130,55,7,122,55,17,130,137,219,144.0,64,20,8,195.0,201,opel
97,50,108.0,211,65,10,214,31,24,156,232,683,218.0,72,7,29,188.0,197,opel
89,42,75.0,140,55,6,145,46,19,139,170,312,166.0,71,15,26,191.0,198,opel
89,36,77.0,172,62,8,157,42,19,125,174,367,126.0,63,5,22,198.0,205,opel
104,55,105.0,216,68,11,205,32,23,169,221,623,216.0,71,9,18,189.0,196,opel
94,40,85.0,186,62,9,169,39,20,139,184,430,133.0,61,2,9,200.0,210,saab
90,41,62.0,147,60,6,128,52,18,141,149,246,157.0,61,13,4,201.0,208,van
86,45,66.0,126,57,8,148,46,19,145,170,321,186.0,86,0,7,179.0,182,bus
87,39,74.0,165,66,6,145,45,19,134,173,318,139.0,70,3,21,195.0,200,bus
92,46,79.0,176,64,8,162,41,20,149,183,396,178.0,67,2,10,191.0,198,opel
93,44,90.0,166,65,10,153,44,19,156,170,348,143.0,66,9,17,194.0,203,van
89,41,75.0,162,66,5,153,43,19,136,175,352,154.0,72,2,0,188.0,195,bus
96,46,74.0,202,74,5,163,39,20,149,185,408,191.0,70,7,8,196.0,200,bus
104,57,103.0,216,69,11,219,30,25,176,228,708,219.0,73,4,3,186.0,196,opel
85,44,70.0,205,103,52,149,45,19,144,241,325,188.0,127,9,11,180.0,183,bus
95,46,104.0,208,66,9,191,35,22,148,210,543,169.0,68,0,28,190.0,200,saab
91,43,72.0,142,56,7,149,45,19,140,168,327,165.0,72,13,23,186.0,191,saab
80,34,42.0,110,57,3,114,59,17,119,131,191,121.0,87,4,7,179.0,183,opel
92,40,66.0,111,48,7,139,50,19,140,159,277,148.0,85,12,19,182.0,183,van
110,56,109.0,199,57,5,251,27,27,169,272,928,268.0,82,11,10,183.0,183,bus
95,46,105.0,219,68,9,201,33,23,148,223,602,201.0,69,5,38,191.0,202,opel
89,47,80.0,131,54,11,160,43,20,163,175,369,174.0,77,1,7,182.0,193,van
80,38,64.0,130,59,8,134,51,18,126,152,259,135.0,76,1,23,179.0,188,opel
86,36,66.0,128,57,8,131,52,18,127,148,252,139.0,76,5,27,183.0,187,opel
85,42,66.0,122,54,6,148,46,19,141,172,317,174.0,88,6,14,,182,bus
93,35,66.0,154,59,6,142,46,18,128,162,304,120.0,64,5,13,197.0,202,opel
93,47,85.0,163,66,11,156,44,20,158,172,355,178.0,74,7,15,183.0,195,van
102,54,100.0,163,53,10,213,31,24,173,219,669,201.0,76,12,27,187.0,195,opel
107,54,98.0,203,65,11,218,31,25,167,229,696,216.0,72,1,28,187.0,199,saab
98,48,101.0,203,65,9,197,33,23,152,216,584,174.0,68,2,5,189.0,197,saab
85,35,47.0,110,55,3,117,57,17,122,136,203,139.0,89,5,9,180.0,184,van
102,51,108.0,193,57,10,212,31,24,162,219,663,184.0,66,7,21,191.0,201,opel
82,36,54.0,117,53,7,125,54,18,126,146,229,128.0,78,1,5,180.0,184,saab
96,47,103.0,215,69,10,200,33,23,147,220,598,200.0,73,6,6,187.0,194,opel
87,43,70.0,169,72,7,152,44,19,145,177,341,171.0,76,6,12,184.0,187,bus
92,37,80.0,180,67,8,154,43,19,129,180,353,144.0,69,6,9,190.0,195,saab
91,38,70.0,160,66,25,140,47,18,139,162,296,130.0,67,4,11,192.0,202,van
79,43,72.0,141,62,8,153,44,19,144,175,344,174.0,78,0,8,182.0,188,bus
88,36,53.0,113,57,3,118,57,17,128,137,204,136.0,88,7,14,180.0,183,van
88,37,63.0,130,58,5,125,54,18,130,141,230,145.0,74,14,20,184.0,188,saab
96,40,70.0,120,50,8,137,50,18,141,162,269,139.0,80,10,13,,183,van
104,55,109.0,230,67,12,218,30,24,174,230,706,226.0,67,8,22,191.0,202,opel
85,38,75.0,132,54,7,147,46,19,131,171,318,145.0,75,7,25,183.0,188,saab
97,45,88.0,173,67,10,157,43,20,157,173,365,157.0,67,8,12,192.0,200,van
106,55,96.0,196,60,12,221,30,25,173,225,717,214.0,72,9,13,186.0,196,opel
89,40,89.0,174,58,8,177,37,21,133,202,471,155.0,70,7,18,189.0,196,saab
93,45,86.0,201,69,7,184,35,22,145,203,523,183.0,72,0,4,194.0,197,bus
94,49,79.0,203,71,5,174,37,21,154,196,465,206.0,71,6,2,197.0,199,bus
85,36,78.0,149,55,7,147,45,19,128,168,321,134.0,64,10,24,197.0,203,opel
95,48,104.0,214,67,9,205,32,23,151,227,628,202.0,74,5,9,186.0,193,opel
85,43,66.0,130,57,6,151,45,19,143,173,333,168.0,86,4,9,180.0,183,bus
105,56,98.0,209,64,11,217,31,24,173,225,696,216.0,72,2,19,188.0,199,opel
98,45,76.0,166,60,7,157,42,20,148,184,371,186.0,69,13,10,190.0,196,opel
84,44,77.0,150,59,5,152,44,19,143,175,344,177.0,77,8,2,183.0,187,saab
98,55,101.0,228,70,9,210,31,24,168,236,661,245.0,72,1,6,188.0,197,opel
99,51,88.0,188,62,5,203,32,23,158,222,625,219.0,77,8,26,191.0,190,bus
93,46,85.0,169,66,9,151,44,19,147,169,339,179.0,67,0,4,195.0,204,van
104,53,101.0,199,65,11,213,31,24,168,216,667,221.0,72,12,12,187.0,198,saab
94,45,85.0,160,63,10,158,43,20,157,174,367,162.0,68,1,6,189.0,199,van
90,38,75.0,164,64,7,151,43,19,131,168,345,139.0,66,0,0,195.0,204,bus
108,49,103.0,200,62,10,206,32,23,155,227,635,215.0,72,6,16,189.0,198,saab
104,58,103.0,230,69,11,219,30,25,176,231,716,246.0,71,7,4,187.0,196,opel
102,48,105.0,214,64,10,201,33,23,152,214,600,178.0,64,0,25,192.0,204,saab
106,52,107.0,211,62,8,200,33,23,161,218,602,200.0,67,9,17,194.0,201,opel
81,43,68.0,139,62,7,149,46,19,145,172,323,171.0,83,1,14,180.0,184,bus
106,54,101.0,222,67,12,222,30,25,173,228,721,200.0,70,3,4,187.0,201,saab
83,37,62.0,113,53,6,122,55,17,129,143,218,135.0,79,0,7,181.0,185,van
90,36,74.0,171,60,8,157,42,19,128,177,367,123.0,61,6,21,197.0,204,saab
107,52,101.0,218,64,11,202,33,23,164,219,610,192.0,65,17,2,197.0,206,opel
87,49,86.0,190,64,9,177,37,21,153,197,471,209.0,67,11,7,192.0,199,opel
103,48,96.0,232,71,10,205,32,23,153,226,633,197.0,71,2,15,188.0,196,opel
85,37,80.0,158,59,8,153,44,19,126,179,348,136.0,69,6,21,191.0,197,opel
96,48,83.0,177,59,8,171,39,21,152,195,438,196.0,67,15,0,195.0,201,opel
101,55,101.0,183,57,13,225,30,25,177,225,741,204.0,71,5,10,186.0,198,opel
108,53,,202,64,10,220,30,25,168,224,711,214.0,73,11,10,188.0,199,saab
101,48,85.0,191,60,11,175,38,21,153,192,458,187.0,62,5,22,197.0,210,saab
100,57,107.0,207,63,11,227,30,25,180,234,756,205.0,72,6,19,186.0,198,opel
91,41,84.0,141,57,9,149,45,19,143,170,330,158.0,72,9,14,189.0,199,van
86,43,68.0,150,64,9,138,48,18,143,161,285,174.0,69,6,0,192.0,201,van
88,39,88.0,194,69,8,168,40,20,133,199,416,151.0,74,3,22,186.0,192,opel
87,46,71.0,159,66,6,151,44,19,146,175,343,189.0,73,2,0,186.0,190,bus
87,47,81.0,149,62,9,147,45,19,152,171,325,181.0,72,0,6,188.0,198,van
87,38,85.0,177,61,8,164,40,20,129,186,402,130.0,63,1,25,198.0,205,opel
97,38,75.0,188,68,6,171,37,20,129,199,450,137.0,74,2,6,197.0,199,bus
95,46,92.0,159,63,11,160,42,20,157,176,372,171.0,70,7,21,189.0,200,van
86,38,89.0,176,59,9,169,39,20,132,190,428,148.0,67,7,33,193.0,202,opel
106,52,101.0,213,64,11,201,33,23,158,214,607,204.0,65,2,4,192.0,204,saab
90,47,85.0,149,60,10,155,43,19,155,179,355,186.0,75,1,5,185.0,196,van
94,38,84.0,158,55,9,169,39,20,130,196,430,155.0,69,9,15,190.0,195,opel
87,41,73.0,158,64,7,151,44,19,138,175,341,152.0,73,3,8,190.0,194,bus
98,35,70.0,182,68,5,155,41,19,124,184,371,117.0,71,3,22,202.0,205,bus
101,54,106.0,188,57,7,236,28,26,164,256,833,253.0,81,6,14,185.0,185,bus
96,45,101.0,201,66,9,192,34,22,143,218,552,195.0,73,3,19,189.0,197,saab
93,45,73.0,164,59,7,159,42,20,146,182,379,188.0,65,11,15,195.0,201,opel
89,42,85.0,144,58,10,152,44,19,144,173,345,161.0,72,8,13,187.0,197,van
93,40,62.0,117,49,7,131,52,18,145,160,249,156.0,78,8,6,184.0,184,van
98,46,77.0,199,71,7,166,39,20,150,184,422,180.0,69,13,9,200.0,203,bus
90,47,85.0,145,58,9,152,44,19,155,175,345,184.0,73,4,2,186.0,197,van
96,45,80.0,162,63,9,146,46,19,148,161,316,161.0,64,5,10,199.0,207,van
92,36,78.0,165,57,8,153,43,19,128,169,349,,60,4,19,203.0,211,saab
90,44,72.0,157,64,8,137,48,18,144,159,283,171.0,65,9,4,196.0,203,van
90,38,79.0,185,69,6,160,40,20,130,178,393,133.0,66,2,14,198.0,205,bus
90,48,78.0,143,60,11,161,43,20,159,172,374,186.0,75,2,2,184.0,193,van
89,42,66.0,125,53,7,131,51,18,144,162,254,162.0,73,10,17,188.0,191,van
97,46,94.0,209,67,10,195,34,22,147,224,573,194.0,70,0,14,188.0,197,opel
101,55,108.0,228,69,12,215,31,24,168,229,684,214.0,71,2,16,188.0,199,saab
108,54,103.0,212,65,11,208,32,24,162,228,648,240.0,71,9,0,189.0,197,saab
113,53,93.0,197,62,11,216,31,24,165,221,688,196.0,72,6,25,188.0,199,saab
88,40,69.0,146,59,7,130,51,18,134,147,252,144.0,64,1,1,193.0,200,opel
90,36,78.0,179,64,8,157,42,19,126,182,367,142.0,66,1,20,192.0,198,opel
87,44,98.0,211,70,10,189,35,22,141,214,535,178.0,71,2,21,187.0,194,opel
93,47,83.0,165,60,7,167,40,20,147,197,417,201.0,73,12,4,187.0,192,opel
97,55,104.0,219,71,9,211,32,24,171,222,658,223.0,74,1,24,186.0,196,saab
96,46,70.0,194,70,6,167,39,20,148,183,427,171.0,69,17,10,200.0,203,bus
86,43,70.0,126,56,6,148,46,19,145,166,317,171.0,86,6,9,179.0,182,bus
107,53,103.0,221,66,11,209,32,24,163,222,653,212.0,66,0,1,191.0,201,opel
82,40,73.0,141,57,8,153,44,19,133,173,342,153.0,75,11,9,181.0,187,opel
105,55,96.0,181,56,9,219,30,25,175,231,713,216.0,74,4,5,187.0,194,opel
80,43,68.0,123,53,7,150,46,19,147,169,327,176.0,81,7,14,179.0,184,bus
84,44,80.0,140,58,11,156,44,20,157,166,349,176.0,74,5,17,183.0,193,van
84,37,53.0,121,59,5,123,55,17,125,141,221,133.0,82,7,1,179.0,183,van
96,52,104.0,222,67,9,198,33,23,163,217,589,226.0,67,12,20,192.0,201,opel
98,42,90.0,192,61,9,178,37,21,144,189,480,138.0,61,3,8,199.0,208,saab
82,38,53.0,125,59,5,133,51,18,128,152,259,146.0,87,0,0,177.0,183,opel
83,46,73.0,137,59,6,148,45,19,146,167,327,,75,8,0,185.0,191,bus
87,40,81.0,162,68,10,146,46,19,139,167,317,157.0,70,0,13,189.0,199,van
94,49,87.0,159,64,10,157,43,20,158,179,363,203.0,75,4,0,183.0,194,van
81,43,68.0,148,64,7,150,45,19,144,175,330,171.0,80,1,2,182.0,185,bus
88,36,78.0,160,62,6,140,48,18,123,161,287,129.0,66,4,35,194.0,202,opel
97,45,76.0,175,60,9,157,42,20,149,180,370,169.0,63,16,12,198.0,206,saab
102,54,101.0,190,58,10,222,30,25,171,224,728,203.0,71,13,6,189.0,198,opel
91,36,83.0,162,61,8,142,47,19,128,163,298,137.0,63,0,31,193.0,200,saab
109,51,100.0,197,59,10,192,34,22,161,210,553,195.0,64,14,3,196.0,202,opel
110,46,100.0,197,61,9,193,34,22,149,209,561,160.0,65,11,7,194.0,203,saab
100,46,104.0,184,60,9,197,34,23,147,222,578,198.0,73,13,13,189.0,197,saab
89,47,83.0,169,61,8,164,40,20,150,189,402,190.0,72,7,10,187.0,193,saab
87,44,65.0,124,56,6,149,46,19,144,170,321,171.0,87,4,12,179.0,182,bus
97,47,87.0,164,64,9,156,43,20,149,173,359,182.0,68,1,13,192.0,202,van
86,37,60.0,115,54,5,119,56,17,132,141,209,129.0,72,2,8,186.0,190,van
103,57,105.0,221,69,11,218,30,24,173,226,706,250.0,73,10,2,187.0,195,opel
98,44,78.0,160,63,8,142,47,18,148,160,300,171.0,63,19,2,201.0,207,van
89,36,72.0,141,56,7,138,48,18,126,163,286,130.0,72,1,1,187.0,192,opel
78,43,70.0,147,65,8,147,46,19,145,169,319,168.0,77,1,12,181.0,186,bus
90,48,78.0,142,59,11,160,43,20,160,173,370,185.0,76,10,11,183.0,192,van
85,33,50.0,104,53,4,115,59,17,118,136,193,127.0,83,1,30,179.0,185,saab
84,47,75.0,153,64,6,154,43,19,145,175,354,184.0,75,0,3,185.0,192,bus
106,53,98.0,192,58,11,217,31,24,166,228,693,191.0,71,11,24,188.0,198,opel
97,59,108.0,227,70,11,224,30,25,186,225,732,218.0,70,10,25,186.0,198,opel
99,46,105.0,209,64,11,197,34,23,152,212,575,159.0,65,0,33,194.0,205,opel
82,45,68.0,150,69,5,148,45,19,144,169,322,184.0,80,5,0,181.0,184,bus
85,37,68.0,145,60,6,130,51,18,130,150,253,121.0,65,3,14,195.0,203,van
94,42,68.0,150,64,7,128,52,18,143,154,246,159.0,69,14,5,192.0,196,van
